Campaign Name,Ad Group Name,Targeting,Match Type,Impressions,Clicks,Spend,7 Day Total Sales,7 Day Total Orders (#)
[DEMO] Campaña Sana,Sana - Core,premium dash diet recipe book,exact,1850,20,2.00,119.88,12
[DEMO] Campaña Sana,Sana - Core,dash diet meal plan,phrase,1420,15,3.00,49.95,5
[DEMO] Campaña Sana,Sana - Core,low sodium dash diet,phrase,920,10,2.00,0,0
[DEMO] Campaña Sana,Sana - Explore,dash diet for beginners,broad,2200,25,5.00,79.92,8
[DEMO] Campaña Problema,Problema - Bid,mindfulness para principiantes,broad,3100,40,15.00,19.98,2
[DEMO] Campaña Problema,Problema - Bid,mindfulness pdf gratis,phrase,1650,12,4.80,0,0
[DEMO] Campaña Problema,Problema - Bid,mindfulness reading techniques,exact,1900,15,6.00,0,0
[DEMO] Campaña Problema,Problema - Bid,mindfulness journal book,broad,2300,25,10.00,19.98,2
[DEMO] Campaña Problema,Problema - Bid,mindfulness exercises daily,exact,1450,10,5.00,9.99,1
[DEMO] Campaña Exploración,Exploración - New,dash diet quick start guide,exact,180,1,0.20,0,0
[DEMO] Campaña Exploración,Exploración - New,dash diet recipes easy,phrase,210,2,0.40,0,0
[DEMO] Campaña Exploración,Exploración - New,dash diet plan weekly,broad,240,2,0.30,0,0
[DEMO] Campaña Exploración,Exploración - New,dash diet for hypertension,exact,170,1,0.25,0,0
[DEMO] Campaña Exploración,Exploración - Pause,dash diet asin lookalike,exact,3800,20,8.00,0,0
[DEMO] Campaña Exploración,Exploración - Watch,dash diet cookbook hardcover,phrase,420,6,1.80,0,0
[DEMO] Campaña Exploración,Exploración - Watch,dash diet sample chapter,exact,380,4,1.20,0,0
